Exported data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Player Name,Position,HidPos,Team,Price,Value,Status,Picked %,PickedTop 100 %,PickedTop 1000 %,Tot Pts,Tot Pts Percentile,PPG,PPG Percentile,PPM,PPM Percentile,T6,G6,PPG6,Min,Goals,Goals Percentile,Assists,Assists Percentile,Clean Sheets,CS Percentile,Goals Conceded,GC Percentile,Own Goals,OG Percentile,Penalty Saved,PS Percentile,Penalty Made,PM Percentile,Yellow,Yellow Percentile,Red,Red Percentile,Saves,Saves Percentile,Bonus Points,BP Percentile,BPS,BPS Percentile,Inf,Inf Percentile,Creat,Creat Percentile,Threat,Threat Percentile,ICT,ICT Percentile,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
77794,Trippier,DEF,2,Newcastle United,6.8,6,a,62.4,17,22.3,198,100%,5.2,100%,33.00,100%,11,7,1.57,3342,1,67%,9,99%,16,100%,31,72%,1,89%,0,0%,0,0%,5,80%,0,0%,0,0%,39,100%,941,100%,904.8,99%,1818.5,100%,117,68%,284.3,100%,5,1,,1,2,2,8,9,8,8,12,7,12,11,2,9,6,7,7,5,,8,0,2,6,7,7
169187,Alexander-Arnold,DEF,2,Liverpool,8.5,7.8,a,30.7,99,97.7,156,99%,4.2,98%,20.00,84%,40,7,5.71,2922,2,90%,11,100%,10,88%,44,91%,0,0%,0,0%,0,0%,5,80%,0,0%,0,0%,21,99%,824,99%,779,99%,1168.2,99%,241,91%,219,99%,2,6,13,12,6,1,1,0,5,8,2,2,2,2,1,8,1,0,0,,,1,2,17,0,3,1
198869,White,DEF,2,Arsenal,5.6,5,a,16.1,2,1.6,156,99%,4.1,98%,31.20,99%,32,6,5.33,3054,2,90%,5,96%,15,99%,35,80%,0,0%,0,0%,0,0%,5,80%,0,0%,0,0%,12,92%,734,99%,649,92%,491.2,96%,159,83%,130,95%,6,7,13,1,3,2,0,8,7,1,2,8,5,6,6,,6,1,5,6,,1,8,1,7,1,5
226597,Gabriel,DEF,2,Arsenal,5.3,5.2,a,13.4,7,9.6,146,98%,3.8,92%,28.08,97%,36,6,6.00,3409,3,98%,0,0%,14,98%,43,89%,0,0%,0,0%,0,0%,5,80%,0,0%,0,0%,15,96%,723,98%,733.8,96%,129.7,67%,401,99%,126.5,95%,14,1,15,1,3,2,1,5,6,0,2,5,15,6,2,,8,1,2,6,,1,2,9,7,1,7
51927,Mee,DEF,2,Brentford,4.8,4.8,a,14.4,0,0,143,98%,3.9,94%,29.79,99%,26,6,4.33,3269,3,98%,2,78%,12,94%,40,87%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,11,91%,643,96%,761.4,98%,92,54%,307,97%,116.3,93%,9,1,,1,2,13,6,7,2,6,1,5,1,11,,6,6,1,7,1,,1,2,2,0,14,0
119471,Schär,DEF,2,Newcastle United,5.4,5.1,a,14.4,0,0,139,97%,3.9,94%,27.25,96%,7,7,1.00,3207,1,67%,3,89%,15,99%,28,64%,1,89%,0,0%,0,0%,7,92%,0,0%,0,0%,6,74%,617,91%,653.4,92%,263.9,86%,521,100%,144.1,96%,2,,,1,2,2,6,6,6,6,6,7,2,6,2,5,8,2,6,2,,6,,1,0,5,15
149484,Mings,DEF,2,Aston Villa,4.1,4.7,a,12.5,0,0.3,130,96%,3.7,89%,27.66,96%,17,6,2.83,3150,1,67%,3,89%,12,94%,40,87%,1,89%,0,0%,0,0%,7,92%,0,0%,0,0%,17,98%,617,91%,657.2,93%,87.7,53%,121,70%,87,84%,2,8,7,0,,0,6,2,7,5,1,1,1,0,10,-2,1,2,6,9,,2,1,,1,2,
220237,Botman,DEF,2,Newcastle United,4.5,4.5,a,6.9,0,0.5,129,95%,3.6,88%,28.67,98%,7,7,1.00,3127,0,0%,2,78%,13,97%,30,70%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,8,83%,666,98%,554.4,86%,120.1,64%,303,96%,98.1,86%,2,1,,1,1,2,6,6,6,6,6,7,2,6,2,7,7,2,5,,,6,,2,1,7,1
78916,Burn,DEF,2,Newcastle United,4.4,4.5,a,4.3,0,0.2,129,95%,3.4,85%,28.67,98%,7,7,1.00,3109,1,67%,0,0%,14,98%,30,70%,0,0%,0,0%,0,0%,5,80%,0,0%,0,0%,6,74%,584,89%,550.2,85%,230.4,82%,265,92%,104.8,89%,2,0,,1,2,2,6,9,6,6,6,6,2,6,2,6,5,2,6,1,,1,1,2,1,7,6
204214,Estupiñán,DEF,2,B & H Albion,5,5,a,20.5,0,0,128,95%,3.7,89%,25.60,94%,36,9,4.00,2674,1,67%,7,98%,10,88%,43,89%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,15,96%,593,90%,570.2,88%,752.9,98%,295,96%,161.3,97%,9,6,,8,7,6,9,6,2,0,2,1,1,7,0,,1,2,0,,,1,4,6,1,,
